author,year,TP,FP,FN,TN,Generation
Aotsuka 2005,2005,115,17,16,73,CCP2
Bas 2003,2003,110,24,86,215,CCP1
Bizzaro 2001,2001,40,5,58,227,CCP1
Bombardieri 2004,2004,23,0,7,39,CCP2
Choi 2005,2005,236,20,88,231,CCP2
Correa 2004,2004,74,11,8,130,CCP2
De Rycke 2004,2004,89,4,29,142,CCP2
Dubucquoi 2004,2004,90,2,50,129,CCP2
Fernandez-Suarez 2005,2005,31,0,22,75,CCP2
Garcia-Berrocal 2005,2005,69,8,18,38,CCP2
Girelli 2004,2004,25,2,10,40,CCP2
Goldbach-Mansky 2000,2000,43,1,63,120,CCP1
Greiner 2005,2005,70,5,17,228,CCP2
Grootenboer-Mignot 2004,2004,167,8,98,88,CCP2
Hitchon 2004,2004,26,8,15,15,CCP2
Jansen 2003,2003,110,3,148,118,CCP1
Kamali 2005,2005,26,1,20,56,CCP2
Kumagai 2004,2004,64,14,15,293,CCP2
Kwok 2005,2005,71,2,58,66,CCP2
Lee 2003,2003,68,14,35,132,CCP2
Lopez-Hoyos 2004,2004,38,3,0,73,CCP2
Nell 2005,2005,42,2,60,96,CCP2
Nielen 2005,2005,149,7,109,114,CCP2
Quinn 2006,2006,147,10,35,106,CCP2
Rantapaa-Dahlqvist 2003,2003,47,7,20,375,CCP2
Raza 2005,2005,24,3,18,79,CCP2
Saraux 2003,2003,40,11,46,146,CCP1
Sauerland 2005,2005,171,26,60,443,CCP2
Schellekens 2000,2000,72,14,77,298,CCP1
Soderlin 2004,2004,7,2,9,51,CCP2
Suzuki 2003,2003,481,23,68,185,CCP2
Vallbracht 2004,2004,190,12,105,408,CCP2
van Gaalen 2005,2005,82,13,71,301,CCP2
van Venrooij 2004,2004,865,79,252,2218,CCP2
Vincent 2002,2002,139,7,101,464,CCP1
Vittecoq 2004,2004,69,5,107,133,CCP2
Zeng 2003,2003,90,7,101,313,CCP1
